in:Roof angle,in:Sunspace depth,in:Skylight WWR,in:Exterior wall WWR,in:Floor const,in:Window const,in:Skylight const,in:Exterior wall const,in:Insulation material,out:Heating load (kWh/m2),out:Solar gain (kWh),out:Cooling load (kWh/m2),img
0,2,0.9,0.9,Typical Uninsulated 6in Slab Floor,clear 3mm,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,17.653148,38204.629038,0,Roof angle0_Sunspace depth1_Skylight WWR0_Exterior wall WWR0_Floor const0_Window const0_Skylight const1_Exterior wall const0_Insulation material0_View.png
15,2,0.9,0.9,Typical Uninsulated 6in Slab Floor,clear 3mm,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,15.084198,38065.348005,0,Roof angle1_Sunspace depth1_Skylight WWR0_Exterior wall WWR0_Floor const0_Window const0_Skylight const1_Exterior wall const0_Insulation material0_View.png
30,2,0.9,0.9,Typical Uninsulated 6in Slab Floor,clear 3mm,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,13.554329,37683.658277,0,Roof angle2_Sunspace depth1_Skylight WWR0_Exterior wall WWR0_Floor const0_Window const0_Skylight const1_Exterior wall const0_Insulation material0_View.png
0,3,0.9,0.9,Typical Uninsulated 6in Slab Floor,clear 3mm,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,17.880834,47785.756926,0,Roof angle0_Sunspace depth2_Skylight WWR0_Exterior wall WWR0_Floor const0_Window const0_Skylight const1_Exterior wall const0_Insulation material0_View.png
15,3,0.9,0.9,Typical Uninsulated 6in Slab Floor,clear 3mm,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,14.960104,47706.47498,0,Roof angle1_Sunspace depth2_Skylight WWR0_Exterior wall WWR0_Floor const0_Window const0_Skylight const1_Exterior wall const0_Insulation material0_View.png
30,3,0.9,0.9,Typical Uninsulated 6in Slab Floor,clear 3mm,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,12.430428,47199.001058,0,Roof angle2_Sunspace depth2_Skylight WWR0_Exterior wall WWR0_Floor const0_Window const0_Skylight const1_Exterior wall const0_Insulation material0_View.png
0,1,0.9,0.9,Typical Insulated Exterior Mass Floor-R8,clear 3mm,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,14.830585,28346.393814,0,Roof angle0_Sunspace depth0_Skylight WWR0_Exterior wall WWR0_Floor const1_Window const0_Skylight const1_Exterior wall const0_Insulation material0_View.png
15,1,0.9,0.9,Typical Insulated Exterior Mass Floor-R8,clear 3mm,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,13.876812,28284.59326,0,Roof angle1_Sunspace depth0_Skylight WWR0_Exterior wall WWR0_Floor const1_Window const0_Skylight const1_Exterior wall const0_Insulation material0_View.png
30,1,0.9,0.9,Typical Insulated Exterior Mass Floor-R8,clear 3mm,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,13.189601,28116.845306,0,Roof angle2_Sunspace depth0_Skylight WWR0_Exterior wall WWR0_Floor const1_Window const0_Skylight const1_Exterior wall const0_Insulation material0_View.png
0,2,0.9,0.9,Typical Insulated Exterior Mass Floor-R8,clear 3mm,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,15.653023,38134.907528,0,Roof angle0_Sunspace depth1_Skylight WWR0_Exterior wall WWR0_Floor const1_Window const0_Skylight const1_Exterior wall const0_Insulation material0_View.png
15,2,0.9,0.9,Typical Insulated Exterior Mass Floor-R8,clear 3mm,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,12.968745,38002.774642,0,Roof angle1_Sunspace depth1_Skylight WWR0_Exterior wall WWR0_Floor const1_Window const0_Skylight const1_Exterior wall const0_Insulation material0_View.png
30,2,0.9,0.9,Typical Insulated Exterior Mass Floor-R8,clear 3mm,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,11.434465,37603.225949,0,Roof angle2_Sunspace depth1_Skylight WWR0_Exterior wall WWR0_Floor const1_Window const0_Skylight const1_Exterior wall const0_Insulation material0_View.png
0,3,0.9,0.9,Typical Insulated Exterior Mass Floor-R8,clear 3mm,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,15.216416,47594.912833,0,Roof angle0_Sunspace depth2_Skylight WWR0_Exterior wall WWR0_Floor const1_Window const0_Skylight const1_Exterior wall const0_Insulation material0_View.png
15,3,0.9,0.9,Typical Insulated Exterior Mass Floor-R8,clear 3mm,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,12.265869,47487.810661,0,Roof angle1_Sunspace depth2_Skylight WWR0_Exterior wall WWR0_Floor const1_Window const0_Skylight const1_Exterior wall const0_Insulation material0_View.png
30,3,0.9,0.9,Typical Insulated Exterior Mass Floor-R8,clear 3mm,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,9.777938,47020.91,0,Roof angle2_Sunspace depth2_Skylight WWR0_Exterior wall WWR0_Floor const1_Window const0_Skylight const1_Exterior wall const0_Insulation material0_View.png
0,1,0.9,0.9,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,15.375403,25563.518718,0,Roof angle0_Sunspace depth0_Skylight WWR0_Exterior wall WWR0_Floor const0_Window const1_Skylight const1_Exterior wall const0_Insulation material0_View.png
15,1,0.9,0.9,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,14.481394,25714.698106,0,Roof angle1_Sunspace depth0_Skylight WWR0_Exterior wall WWR0_Floor const0_Window const1_Skylight const1_Exterior wall const0_Insulation material0_View.png
30,1,0.9,0.9,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,13.718499,25834.872898,0,Roof angle2_Sunspace depth0_Skylight WWR0_Exterior wall WWR0_Floor const0_Window const1_Skylight const1_Exterior wall const0_Insulation material0_View.png
0,2,0.9,0.9,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,17.241708,35365.092971,0,Roof angle0_Sunspace depth1_Skylight WWR0_Exterior wall WWR0_Floor const0_Window const1_Skylight const1_Exterior wall const0_Insulation material0_View.png
15,2,0.9,0.9,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,14.551356,35730.750873,0,Roof angle1_Sunspace depth1_Skylight WWR0_Exterior wall WWR0_Floor const0_Window const1_Skylight const1_Exterior wall const0_Insulation material0_View.png
30,2,0.9,0.9,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,13.016617,35925.53237,0,Roof angle2_Sunspace depth1_Skylight WWR0_Exterior wall WWR0_Floor const0_Window const1_Skylight const1_Exterior wall const0_Insulation material0_View.png
0,3,0.9,0.9,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,17.483078,44982.621628,0,Roof angle0_Sunspace depth2_Skylight WWR0_Exterior wall WWR0_Floor const0_Window const1_Skylight const1_Exterior wall const0_Insulation material0_View.png
