in:Roof angle,in:Sunspace depth,in:SRR,in:WWR,in:Floor const,in:Window const,in:Skylight const,in:Exterior wall const,in:Insulation material,out:Heating load (kWh/m2),out:Solar gain (kWh),out:Cooling load (kWh/m2)
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,clear 3mm,Typical Uninsulated Exterior Mass Wall,No_Movable_insulation,37.215067,11141.97413,16.778729
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,clear 3mm,Polyc 6mm twin,Typical Insulated Exterior Mass Wall-R17,EPS100_Polystyrene_Insulation_Board,26.926695,11809.99323,16.084788
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,clear 3mm,Polyc 6mm twin,Typical Insulated Exterior Mass Wall-R17,LUXOUS_1147_FR,32.441756,11747.94756,16.084788
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,clear 3mm,Polyc 6mm twin,Typical Insulated Exterior Mass Wall-R17,No_Movable_insulation,34.137968,11980.95404,16.084788
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,clear 3mm,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,32.05028,11845.71688,16.560932
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,clear 3mm,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,LUXOUS_1147_FR,36.177006,11759.09316,16.560932
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,clear 3mm,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,No_Movable_insulation,37.235707,11980.95404,16.560932
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,clear 3mm,clear 3mm,Typical Insulated Exterior Mass Wall-R17,EPS100_Polystyrene_Insulation_Board,27.210323,12333.2326,16.14562
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,clear 3mm,clear 3mm,Typical Insulated Exterior Mass Wall-R17,LUXOUS_1147_FR,33.112559,12262.98378,16.14562
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,clear 3mm,clear 3mm,Typical Insulated Exterior Mass Wall-R17,No_Movable_insulation,34.975265,12507.23503,16.14562
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,clear 3mm,clear 3mm,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,32.112358,12369.39535,16.623853
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,clear 3mm,clear 3mm,Typical Uninsulated Exterior Mass Wall,LUXOUS_1147_FR,36.587662,12273.12703,16.623853
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,clear 3mm,clear 3mm,Typical Uninsulated Exterior Mass Wall,No_Movable_insulation,37.842181,12507.23503,16.623853
0,1,0.3,0.9,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,Polyc 6mm twin,Typical Insulated Exterior Mass Wall-R17,EPS100_Polystyrene_Insulation_Board,13.073173,18822.50547,17.198175
0,1,0.3,0.9,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,Polyc 6mm twin,Typical Insulated Exterior Mass Wall-R17,LUXOUS_1147_FR,19.074492,19151.71564,17.198175
0,1,0.3,0.9,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,Polyc 6mm twin,Typical Insulated Exterior Mass Wall-R17,No_Movable_insulation,20.970758,19589.59738,17.198175
0,1,0.3,0.9,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,17.162252,18874.53927,17.609187
0,1,0.3,0.9,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,LUXOUS_1147_FR,22.312024,19162.25277,17.609187
0,1,0.3,0.9,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,No_Movable_insulation,23.804165,19589.59738,17.609187
0,1,0.3,0.9,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,clear 3mm,Typical Insulated Exterior Mass Wall-R17,EPS100_Polystyrene_Insulation_Board,13.399921,19355.40316,17.236036
0,1,0.3,0.9,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,clear 3mm,Typical Insulated Exterior Mass Wall-R17,LUXOUS_1147_FR,19.87299,19664.82861,17.236036
0,1,0.3,0.9,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,clear 3mm,Typical Insulated Exterior Mass Wall-R17,No_Movable_insulation,21.964664,20115.87837,17.236036
0,1,0.3,0.9,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,clear 3mm,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,17.419835,19405.97222,17.634884
0,1,0.3,0.9,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,clear 3mm,Typical Uninsulated Exterior Mass Wall,LUXOUS_1147_FR,22.926352,19675.479,17.634884
0,1,0.3,0.9,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,clear 3mm,Typical Uninsulated Exterior Mass Wall,No_Movable_insulation,24.587933,20115.87837,17.634884
0,1,0.3,0.9,Typical Insulated Exterior Mass Floor-R8,clear 3mm,Polyc 6mm twin,Typical Insulated Exterior Mass Wall-R17,EPS100_Polystyrene_Insulation_Board,14.567378,21502.77673,16.778019
